Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Addresses_Patterns,"Reasoning for ""Addresses_Patterns""",Addresses_LogicalReasoning,"Reasoning for ""Addresses_LogicalReasoning""",Mentions_NetworksInternet,"Reasoning for ""Mentions_NetworksInternet""",Mentions_ComputingImpact,"Reasoning for ""Mentions_ComputingImpact""",Type_PluggedActivity,"Reasoning for ""Type_PluggedActivity""",Type_UnpluggedActivity,"Reasoning for ""Type_UnpluggedActivity""",Type_VisualProgramming,"Reasoning for ""Type_VisualProgramming""",Type_Course,"Reasoning for ""Type_Course""",Type_Video,"Reasoning for ""Type_Video""",Duration_Session,"Reasoning for ""Duration_Session""",Duration_Week,"Reasoning for ""Duration_Week""",Duration_Month,"Reasoning for ""Duration_Month""",Fits_EducacionInfantil,"Reasoning for ""Fits_EducacionInfantil""",Fits_CicloEP,"Reasoning for ""Fits_CicloEP""",Fits_ESO,"Reasoning for ""Fits_ESO""",Fits_Bachillerato,"Reasoning for ""Fits_Bachillerato""",Fits_Mathematics,"Reasoning for ""Fits_Mathematics""",Promotes_Teamwork,"Reasoning for ""Promotes_Teamwork""","Promotes_CreativityScientificSpirit ","Reasoning for ""Promotes_CreativityScientificSpirit """,Promotes_GoodUseICT,"Reasoning for ""Promotes_GoodUseICT""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
No title found," Etapa",-,-,-,-,-,Propuesta-pedagogica-PC-Inteligencia-Artificial-Media.pdf,yes,Programming in Scratch inherently involves pattern recognition and generalization.,yes,Creating a video game requires logical reasoning for programming.,no,-,no,-,yes,Clearly involves computer use with Scratch and Teachable Machine.,no,This is explicitly a computer-based activity.,yes,"Explicitly mentions Scratch, which is a visual programming environment.",maybe,Abstract doesn't specify if this is a full course or single project.,no,"This is a programming project, not video-based material.",no,No specific duration mentioned.,no,No specific duration mentioned.,no,No specific duration mentioned.,no,"No specific educational level mentioned, though Scratch is typically used in primary through secondary education.",no,"No specific educational level mentioned, though Scratch is typically used in primary through secondary education.",no,"No specific educational level mentioned, though Scratch is typically used in primary through secondary education.",no,"No specific educational level mentioned, though Scratch is typically used in primary through secondary education.",maybe,"Programming involves mathematical concepts, but not explicitly mentioned.",maybe,No mention of individual or team work.,yes,Creating a video game and integrating AI demonstrates both creativity and scientific spirit.,yes,Involves constructive use of technology through programming.,Exclude,"A Scratch-based video game project integrating AI demonstrates strong potential for promoting creativity, scientific thinking, and good ICT use through visual programming. While the activity clearly involves plugged, computer-based learning with pattern recognition and logical reasoning, several contextual details remain unclear, such as specific educational level and project duration. The project inherently supports technical skill development through a creative programming challenge.",2.3
No title found,-,-,-,-,-,-,2024-La-vaca-version-sin-DR.docx.pdf,no,The abstract mentions that the activity involves pattern recognition and generalization in the context of classification criteria and machine learning. Students work with identifying components and patterns in AI systems.,no,"The abstract states that students analyze how algorithms work and reflect on decision-making processes. They must understand classification criteria and prediction mechanisms, which requires logical reasoning.",no,- No explicit mention of networks or internet technologies in the abstract.,no,"The abstract discusses how AI systems reflect human biases and aren't neutral, and addresses the social implications of AI decision-making, indicating that it covers the computing impact.",no,"The abstract mentions machine learning image classification, suggesting some computer use, but also includes unplugged components.",no,"The abstract explicitly mentions using a bingo game as a teaching tool, indicating the inclusion of unplugged activities.",no,- No mention of visual programming environments in the abstract.,no,- The abstract appears to describe a specific activity rather than a full course.,no,- No mention of video content in the abstract.,no,- The duration is not specified in the abstract.,no,- The duration is not specified in the abstract.,no,- The duration is not specified in the abstract.,no,- No explicit mention of the Educación Infantil educational level in the abstract.,no,- No explicit mention of the Ciclo de Educación Primaria educational level in the abstract.,no,- No explicit mention of the ESO educational level in the abstract.,no,- No explicit mention of the Bachillerato educational level in the abstract.,no,"The abstract indicates that the activity involves algorithmic thinking and classification, which are related to mathematics, but it is not explicitly stated that the resource is intended for mathematics curricula.",no,"The abstract mentions the use of a bingo game, which might involve teamwork, but it is not explicitly stated.",no,"The abstract states that the activity encourages critical thinking about AI systems and promotes understanding of scientific concepts through practical experience, indicating that it promotes creativity and scientific spirit.",no,"The abstract focuses on understanding AI systems and their implications, and promotes critical thinking about technology use and impact, suggesting that it promotes the good use of ICT.",Include,"This resource offers an innovative approach to teaching AI concepts through a bingo game, focusing on pattern recognition, logical reasoning, and understanding computing impact. It promotes scientific thinking and critical engagement with technology, blending unplugged and potentially plugged activities to help students explore AI system components and biases. The material demonstrates potential for developing computational thinking skills while encouraging reflective understanding of technological decision-making processes.",2.9
No title found,"Competencias Específicas,  Contenidos",-,-,-,-,-,Librillo_PC_Sube.pdf,no,"Elicit was unable to assess whether the resource addresses patterns or generalization, as the abstract content was missing and there was insufficient information to evaluate the educational content and approaches used.",no,"Elicit was unable to assess whether the resource addresses logical reasoning, as the abstract content was missing and there was insufficient information to evaluate the educational content and approaches used.",no,"Elicit was unable to assess whether the resource mentions networks, the internet, or web technologies, as the abstract content was missing and there was insufficient information to evaluate the educational content.",no,"Elicit was unable to assess whether the resource explicitly mentions the social, ethical, or environmental impact of computing, as the abstract content was missing and there was insufficient information to evaluate the educational content.",no,"Elicit was unable to assess whether the resource is primarily a plugged (computer-based) activity, as the abstract content was missing and there was insufficient information to evaluate the type of activity or resource.",no,"Elicit was unable to assess whether the resource is primarily an unplugged activity (no computer required), as the abstract content was missing and there was insufficient information to evaluate the type of activity or resource.",no,"Elicit was unable to assess whether the resource requires a visual / block-based programming environment (e.g., Scratch), as the abstract content was missing and there was insufficient information to evaluate the type of activity or resource.",no,"Elicit was unable to assess whether the resource is structured as a full course or curriculum unit, as the abstract content was missing and there was insufficient information to evaluate the type of resource.",no,"Elicit was unable to assess whether the resource is mainly a video-based material, as the abstract content was missing and there was insufficient information to evaluate the type of resource.",no,"Elicit was unable to assess whether the estimated duration of the resource is up to 2 hours (Session), as the abstract content was missing and there was insufficient information to evaluate the duration.",no,"Elicit was unable to assess whether the estimated duration of the resource is 2–4 sessions (≈ one week), as the abstract content was missing and there was insufficient information to evaluate the duration.",no,"Elicit was unable to assess whether the estimated duration of the resource is 5–15 sessions (≈ one month), as the abstract content was missing and there was insufficient information to evaluate the duration.",no,"Elicit was unable to assess whether the resource is explicitly suitable for Educación Infantil, as the abstract content was missing and there was insufficient information to evaluate the target educational levels.",no,"Elicit was unable to assess whether the resource is suitable for Ciclo de Educación Primaria, as the abstract content was missing and there was insufficient information to evaluate the target educational levels.",no,"Elicit was unable to assess whether the resource is suitable for ESO, as the abstract content was missing and there was insufficient information to evaluate the target educational levels.",no,"Elicit was unable to assess whether the resource is suitable for Bachillerato, as the abstract content was missing and there was insufficient information to evaluate the target educational levels.",no,"Elicit was unable to assess whether the resource is intended for Mathematics curricula, as the abstract content was missing and there was insufficient information to evaluate the curricular fit.",no,"Elicit was unable to assess whether the resource promotes teamwork, as the abstract content was missing and there was insufficient information to evaluate the promoted skills and values.",no,"Elicit was unable to assess whether the resource promotes creativity and scientific spirit, as the abstract content was missing and there was insufficient information to evaluate the promoted skills and values.",no,"Elicit was unable to assess whether the resource promotes the good use of ICT, as the abstract content was missing and there was insufficient information to evaluate the promoted skills and values.",Exclude,"No content is available to assess the screening criteria, rendering it impossible to determine the educational characteristics, activity type, target levels, or skill promotions. The absence of substantive text prevents any meaningful analysis against the specified screening requirements.",0.1
No title found,-,-,-,-,-,-,Librillo_PC_Paso.pdf,no,"The abstract mentions STEM areas, which suggests potential coverage of pattern recognition or generalization, but there is no specific indication of this in the provided information.",no,"The abstract mentions STEM areas, which suggests potential coverage of logical reasoning, but there is no specific indication of this in the provided information.",no,"The abstract does not mention networks, the internet, or web technologies.",no,"The abstract does not explicitly mention the social, ethical, or environmental impact of computing.",no,The abstract does not provide any information about whether the resource is a plugged (computer-based) activity.,no,The abstract does not provide any information about whether the resource is an unplugged activity (no computer required).,no,"The abstract does not indicate whether the resource requires a visual / block-based programming environment (e.g., Scratch).",no,The abstract does not specify whether the resource is structured as a full course or curriculum unit.,no,The abstract does not indicate whether the resource is mainly a video-based material.,no,The abstract does not provide any information about the estimated duration of the resource.,no,The abstract does not provide any information about the estimated duration of the resource.,no,The abstract does not provide any information about the estimated duration of the resource.,no,The abstract does not specify whether the resource is explicitly suitable for Educación Infantil.,no,The abstract does not specify whether the resource is suitable for Ciclo de Educación Primaria.,no,The abstract does not specify whether the resource is suitable for ESO.,no,The abstract does not specify whether the resource is suitable for Bachillerato.,maybe,"The abstract mentions STEM areas, which suggests potential relevance to mathematics curricula, but there is no specific indication of this.",no,The abstract does not indicate whether the resource promotes teamwork.,no,The abstract does not indicate whether the resource promotes creativity and scientific spirit.,no,The abstract does not indicate whether the resource promotes the good use of ICT.,Exclude,"The extremely brief abstract mentioning STEM areas provides no substantive details to definitively assess any of the screening criteria. While the title suggests potential educational relevance, there is insufficient information to confirm alignment with specific requirements around activity type, educational level, pedagogical approaches, or learning objectives. The lack of context renders a comprehensive evaluation impossible.",0.4
No title found,"Marco Referencial, Germán Capdehourat, María Eugenia Curi, Victor Koleszar, Brian Lorenzo",-,-,-,-,-,Marco-referencial-IA.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
No title found," Etapa",-,-,-,-,-,2023-Las-aventuras-de-Robo-y-Dinobot.pdf,yes,"The abstract explicitly mentions that the resource focuses on ""pensamiento lógico"" (logical thinking) and problem-solving skills, indicating that it addresses pattern recognition and generalization.",yes,"The abstract explicitly states that the resource focuses on ""pensamiento lógico"" (logical thinking), suggesting that it addresses logical reasoning.",no,-,no,-,yes,"The abstract indicates that the resource uses RoboGarden and Scratch platforms, which are computer-based, suggesting that it is a plugged activity.",no,-,yes,"The abstract explicitly mentions the use of Scratch and block programming (""bloques de programación""), indicating that it requires a visual/block-based programming environment.",no,"While the abstract suggests a structured approach with ""series of challenges,"" it is unclear if the resource is a full course or curriculum unit.",no,-,maybe,"The abstract mentions a ""series of challenges,"" suggesting multiple sessions, but the exact duration is unclear.",maybe,"The abstract mentions a ""series of challenges,"" suggesting multiple sessions, but the exact duration is unclear.",no,"The abstract mentions a ""series of challenges,"" suggesting multiple sessions, but the exact duration is unclear.",no,The abstract does not specify the age range or educational level the resource is suitable for.,maybe,"The abstract suggests the resource is suitable for primary/secondary education due to the use of Scratch, but the specific age range is not stated.",maybe,"The abstract suggests the resource is suitable for primary/secondary education due to the use of Scratch, but the specific age range is not stated.",no,The abstract does not specify the age range or educational level the resource is suitable for.,no,"While the abstract mentions problem-solving and computational practices, it does not explicitly connect the resource to mathematics curricula.",yes,"The abstract mentions ""grupos de estudiantes"" (groups of students), suggesting the resource may promote teamwork, but it is unclear if actual teamwork is involved.",yes,The abstract's focus on problem-solving and computational practices suggests the resource promotes creativity and scientific spirit.,maybe,"The structured approach to programming education implied in the abstract suggests the resource promotes the good use of ICT, but this is not explicitly stated.",Include,"A gamified programming introduction using Scratch and RoboGarden that strongly demonstrates logical reasoning and computational thinking skills through problem-solving challenges. The resource appears well-suited for primary and secondary education, promoting scientific creativity through visual programming techniques. While comprehensive in its computational approach, the abstract lacks explicit details about duration, specific age ranges, and broader computing impacts.",2.9
No title found," Etapa, 📑 Anexo",-,-,-,-,-,BiblioDatos-sin-DR.docx-1.pdf,no,The abstract does not provide any information about whether the resource addresses patterns or generalization. There is no reasoning given about this criterion.,no,The abstract does not provide any information about whether the resource addresses logical reasoning. There is no reasoning given about this criterion.,no,"The abstract does not mention anything about networks, the internet, or web technologies. There is no reasoning given about this criterion.",no,"The abstract does not mention the social, ethical, or environmental impact of computing. There is no reasoning given about this criterion.",no,The abstract does not indicate whether the resource is a plugged (computer-based) activity. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource is an unplugged activity (no computer required). There is no reasoning given about this criterion.,no,The abstract does not mention whether the resource requires a visual / block-based programming environment. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource is structured as a full course or curriculum unit. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource is mainly video-based material. There is no reasoning given about this criterion.,no,The abstract does not provide any information about the estimated duration of the resource. There is no reasoning given about this criterion.,no,The abstract does not provide any information about the estimated duration of the resource. There is no reasoning given about this criterion.,no,The abstract does not provide any information about the estimated duration of the resource. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource is explicitly suitable for Educación Infantil. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource is suitable for Ciclo de Educación Primaria. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource is suitable for ESO. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource is suitable for Bachillerato. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource is intended for Mathematics curricula. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource promotes teamwork. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource promotes creativity and scientific spirit. There is no reasoning given about this criterion.,no,The abstract does not indicate whether the resource promotes the good use of ICT. There is no reasoning given about this criterion.,Exclude,"The provided text is an incomplete Spanish fragment that lacks any substantive information to assess the screening criteria. With no details about learning objectives, technical content, activity type, educational level, or pedagogical approach, it is impossible to determine alignment with any of the specified requirements. Consequently, the resource cannot be evaluated or included based on the current information.",0.1
No title found,-,-,-,-,-,-,Librillo_PC_Cuento.pdf,no,"The abstract does not state whether the resource involves pattern recognition or generalization, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource involves logical reasoning, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not mention networks, the internet, or web technologies, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not explicitly mention the social, ethical, or environmental impact of computing, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource is a plugged (computer-based) activity, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource is an unplugged activity (no computer required), so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not mention a visual / block-based programming environment, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource is structured as a full course or curriculum unit, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource is mainly video-based material, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not provide an estimated duration for the resource, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not provide an estimated duration for the resource, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not provide an estimated duration for the resource, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource is suitable for Educación Infantil, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource is suitable for Ciclo de Educación Primaria, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource is suitable for ESO, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource is suitable for Bachillerato, so there is no reasoning provided to evaluate this criterion.",maybe,"The abstract mentions ""STEM areas"", which suggests the resource may be intended for mathematics curricula, but this connection is very loose and not definitive.",no,"The abstract does not indicate whether the resource promotes teamwork, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource promotes creativity and scientific spirit, so there is no reasoning provided to evaluate this criterion.",no,"The abstract does not indicate whether the resource promotes the good use of ICT, so there is no reasoning provided to evaluate this criterion.",Exclude,"The extremely brief text fragment provides insufficient information to assess any of the 20 screening criteria definitively. Despite mentioning STEM areas, no concrete details about educational approach, activity type, target age group, or learning objectives are present. Consequently, systematic review inclusion cannot be confidently determined without additional context.",0.3
No title found,-,-,-,-,-,-,Pensamiento-computacional-y-matematica-ceibal.pdf,maybe,"The text is too limited to determine if it addresses pattern recognition or generalization, though cipher activities often do involve pattern-based reasoning.",maybe,"The text is too fragmentary to determine if it addresses logical reasoning, though cipher activities often do involve logical reasoning.",no,"There is no mention of networks, the internet, or web technologies in the provided text.",no,"The text does not explicitly mention the social, ethical, or environmental impact of computing.",no,The limited text does not provide enough information to determine if the resource is primarily a plugged (computer-based) activity.,no,The limited text does not provide enough information to determine if the resource is primarily an unplugged activity (no computer required).,no,"The text does not mention the use of a visual / block-based programming environment (e.g., Scratch).",no,The limited text does not provide enough information to determine if the resource is structured as a full course or curriculum unit.,no,The text does not indicate that the resource is mainly video-based material.,no,The text does not specify the estimated duration of the activity.,no,The text does not specify the estimated duration of the activity.,no,The text does not specify the estimated duration of the activity.,no,The text does not indicate if the resource is explicitly suitable for Educación Infantil.,no,The text does not indicate if the resource is suitable for Ciclo de Educación Primaria.,no,The text does not indicate if the resource is suitable for ESO.,no,The text does not indicate if the resource is suitable for Bachillerato.,no,The text does not indicate if the resource is intended for Mathematics curricula.,no,The text does not provide any information about whether the activity promotes teamwork.,no,The limited text does not provide enough information to assess whether the activity promotes creativity and scientific spirit.,no,The text does not indicate whether the resource promotes the good use of ICT.,Exclude,"The provided text fragment is too short and incomplete to meaningfully assess most screening criteria, with insufficient details about patterns, computing concepts, educational context, or activity type. Critical information is missing, rendering a comprehensive evaluation impossible based on the limited text available.",0.1
No title found,-,-,-,-,-,-,Librillo_PC_Supercircuito.pdf,yes,"The activity involves creating animations and sequences, which implies pattern recognition and generalization abilities.",yes,"The activity requires creating sequences and programming in blocks, which necessitates logical reasoning skills.",no,- No reasoning provided.,no,- No reasoning provided.,yes,Creating animations and using block programming implies the use of computers and computer-based activities.,maybe,"The activity mentions ""actividades corporales"" (physical activities) as part of the process, suggesting it includes both plugged and unplugged components.",yes,"The activity explicitly mentions ""programación en bloques"" (block programming), indicating the use of a visual/block-based programming environment.",no,- No reasoning provided.,no,- No reasoning provided.,maybe,- No reasoning provided.,maybe,- No reasoning provided.,maybe,- No reasoning provided.,maybe,- No reasoning provided.,maybe,- No reasoning provided.,maybe,- No reasoning provided.,maybe,- No reasoning provided.,no,- No reasoning provided.,yes,"The activity is described as ""desarrollado de forma colaborativa"" (developed collaboratively), indicating it promotes teamwork.",yes,"The activity involves the creative design of animations and problem-solving, suggesting it promotes creativity and scientific spirit.",yes,"The activity involves the constructive use of technology for learning, indicating it promotes the good use of ICT.",Exclude,"A computational learning activity that strongly promotes block programming, teamwork, and creativity through collaborative animation design. The resource integrates physical and digital learning approaches, emphasizing logical reasoning and scientific problem-solving, though specific details about duration and target age groups remain undefined. It demonstrates potential for engaging STEM learning through interactive, technology-enhanced experiences.",2.3
